0.102,-0.894,1
0.114,-0.838,1
0.082,-0.756,1
0.102,-0.796,1
0.068,-0.694,1
0.056,-0.584,1
0.084,-0.546,1
0.11,-0.568,1
0.068,-0.658,1
0.09,-0.558,1
0.076,-0.616,1
0.084,-0.536,1
0.084,-0.498,1
0.068,-0.4,1
0.154,-0.362,1
0.124,-0.404,1
0.106,-0.392,1
0.102,-0.45,1
0.084,-0.412,1
0.092,-0.572,1
0.134,-0.576,1
0.19,-0.6,1
0.232,-0.602,1
0.194,-0.572,1
0.136,-0.55,1
0.09,-0.516,1
0.194,-0.556,1
0.234,-0.594,1
0.3,-0.612,1
0.332,-0.62,1
0.316,-0.626,1
0.252,-0.62,1
0.288,-0.604,1
0.188,-0.558,1
0.038,-0.49,1
0.058,-0.44,1
0.048,-0.552,1
0.042,-0.608,1
0.114,-0.572,1
0.066,-0.61,1
0.038,-0.656,1
0.056,-0.704,1
0.068,-0.762,1
0.09,-0.848,1
0.116,-0.874,1
0.196,-0.878,1
0.208,-0.914,1
0.166,-0.91,1
0.154,-0.874,1
0.178,-0.354,1
0.12,-0.35,1
0.182,-0.286,1
0.154,-0.332,1
0.208,-0.31,1
0.224,-0.31,1
0.286,-0.31,1
0.33,-0.334,1
0.396,-0.398,1
0.398,-0.422,1
0.302,-0.324,1
0.232,-0.282,1
0.312,-0.248,1
0.388,-0.292,1
0.398,-0.368,1
0.368,-0.31,1
0.398,-0.338,1
0.444,-0.43,1
0.462,-0.372,1
0.448,-0.306,1
0.448,-0.358,1
0.434,-0.4,1
0.432,-0.304,1
0.448,-0.268,1
0.358,-0.218,1
0.412,-0.23,1
0.38,-0.256,1
0.34,-0.274,1
0.244,-0.284,1
0.336,-0.25,1
0.31,-0.29,1
0.462,-0.28,1
0.482,-0.238,1
0.524,-0.192,1
0.59,-0.182,1
0.636,-0.208,1
0.694,-0.26,1
0.692,-0.292,1
0.678,-0.406,1
0.678,-0.406,1
0.666,-0.458,1
0.668,-0.364,1
0.698,-0.342,1
0.746,-0.434,1
0.694,-0.472,1
0.462,-0.206,1
0.482,-0.122,1
0.61,-0.09,1
0.672,-0.09,1
0.594,-0.134,1
0.414,-0.148,1
0.558,-0.144,1
0.536,-0.126,1
0.49,-0.166,1
0.32,-0.216,1
0.302,-0.184,1
0.218,-0.218,1
0.364,-0.136,1
0.58,-0.074,1
0.74,-0.084,1
0.714,-0.154,1
0.584,-0.158,1
0.636,-0.13,1
0.664,-0.152,1
0.708,-0.196,1
0.71,-0.192,1
0.71,-0.192,1
0.664,-0.21,1
0.64,-0.166,1
0.698,-0.208,1
0.712,-0.244,1
0.726,-0.168,1
0.734,-0.12,1
0.458,-0.094,1
0.376,-0.108,1
0.176,-0.172,1
0.118,-0.268,1
0.336,-0.092,1
0.402,-0.04,1
0.43,-0.052,1
0.214,-0.1,1
0.214,-0.124,1
0.298,-0.088,1
0.11,-0.184,1
0.068,-0.244,1
0.212,-0.206,1
0.714,-0.386,1
0.766,-0.398,1
0.772,-0.268,1
0.754,-0.22,1
0.822,-0.224,1
0.844,-0.332,1
0.766,-0.312,1
0.756,-0.264,1
0.75,-0.376,1
0.718,-0.398,1
0.72,-0.32,1
0.672,-0.322,1
0.706,-0.264,1
0.674,-0.39,1
0.65,-0.436,1
0.758,-0.432,1
0.722,-0.466,1
0.426,-0.13,1
0.42,-0.2,1
0.384,-0.184,1
0.356,-0.168,1
0.25,-0.126,1
0.266,-0.188,1
0.316,-0.152,1
0.266,-0.24,1
0.188,-0.222,1
0.14,-0.27,1
0.04,-0.344,1
0.716,-0.436,1
0.67,-0.47,1
0.662,-0.39,1
0.652,-0.472,1
0.652,-0.508,1
0.728,-0.476,1
0.73,-0.422,1
0.69,-0.49,1
0.706,-0.512,1
0.658,-0.54,1
0.66,-0.564,1
0.69,-0.506,1
0.702,-0.506,1
0.758,-0.516,1
0.838,-0.458,1
0.766,-0.448,1
0.712,-0.514,1
0.812,-0.442,1
0.85,-0.372,1
0.802,-0.334,1
0.81,-0.398,1
0.896,-0.378,1
0.906,-0.394,1
0.94,-0.398,1
0.864,-0.42,1
0.942,-0.43,1
0.95,-0.462,1
0.96,-0.516,1
0.942,-0.552,1
0.924,-0.606,1
0.976,-0.604,1
0.976,-0.462,1
0.938,-0.328,1
0.892,-0.304,1
0.922,-0.354,1
0.976,-0.39,1
0.938,-0.412,1
0.83,-0.458,1
0.78,-0.478,1
0.904,-0.594,1
0.912,-0.6,1
0.864,-0.624,1
0.818,-0.642,1
0.82,-0.678,1
0.868,-0.636,1
0.966,-0.608,1
0.866,-0.658,1
0.684,-0.534,1
0.766,-0.538,1
0.714,-0.546,1
0.68,-0.556,1
0.748,-0.536,1
0.748,-0.494,1
0.846,-0.684,1
0.766,-0.684,1
0.832,-0.666,1
0.75,-0.684,1
0.65,-0.702,1
0.702,-0.694,1
0.74,-0.71,1
0.67,-0.716,1
0.672,-0.708,1
0.686,-0.748,1
0.746,-0.742,1
0.762,-0.732,1
0.808,-0.718,1
0.88,-0.686,1
0.914,-0.67,1
0.978,-0.624,1
0.934,-0.61,1
0.878,-0.614,1
0.896,-0.644,1
0.948,-0.632,1
0.72,-0.774,1
0.846,-0.736,1
0.776,-0.82,1
0.85,-0.768,1
0.776,-0.764,1
0.85,-0.822,1
0.824,-0.862,1
0.894,-0.788,1
0.924,-0.736,1
0.972,-0.788,1
0.906,-0.868,1
0.852,-0.918,1
0.956,-0.934,1
0.938,-0.826,1
0.9,-0.884,1
0.97,-0.726,1
0.928,-0.702,1
0.96,-0.694,1
0.936,-0.892,1
0.832,-0.914,1
0.932,-0.922,1
0.864,-0.956,1
0.948,-0.964,1
0.996,-0.978,1
0.87,-0.93,1
0.46,-0.976,1
0.494,-0.932,1
0.51,-0.898,1
0.56,-0.932,1
0.576,-0.97,1
0.538,-0.984,1
0.492,-0.974,1
0.532,-0.932,1
0.502,-0.94,1
0.488,-0.894,1
0.46,-0.868,1
0.464,-0.952,1
0.466,-0.91,1
0.458,-0.902,1
0.458,-0.902,1
0.518,-0.856,1
0.558,-0.898,1
0.572,-0.952,1
0.112,-0.946,1
0.08,-0.96,1
0.07,-0.918,1
0.06,-0.848,1
0.06,-0.824,1
0.134,-0.956,2
0.176,-0.948,2
0.22,-0.972,2
0.328,-0.962,2
0.284,-0.912,2
0.256,-0.948,2
0.364,-0.946,2
0.384,-0.908,2
0.312,-0.872,2
0.364,-0.91,2
0.318,-0.92,2
0.296,-0.868,2
0.252,-0.856,2
0.23,-0.81,2
0.194,-0.808,2
0.174,-0.814,2
0.242,-0.834,2
0.272,-0.894,2
